都道府県コード又は市区町村コード,NO,都道府県名,データ名称,データ概要,データ形式,分類,URL,ライセンス,掲載ページ名,掲載ページURL,データ提供所属,備考
230006,18,愛知県,自動車盗（CSV：63KB）,令和２年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2020zidousyatou.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,19,愛知県,オートバイ盗（CSV：83KB）,令和２年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2020ootobaitou.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,20,愛知県,自転車盗（CSV：897KB）,令和２年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2020zitensyatou.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,21,愛知県,ひったくり（CSV：11KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,22,愛知県,車上ねらい（CSV：238KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,23,愛知県,部品ねらい（CSV：137KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,24,愛知県,自動販売機ねらい（CSV：55KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,25,愛知県,自動車盗（CSV：77KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,26,愛知県,オートバイ盗（CSV：77KB）,令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,27,愛知県,"自転車盗（CSV：1,121KB）",令和元年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
